Asset details report
"March 31, 2026 - April 27, 2026"
Asset status,Asset,Level,Status,Asset type,Position pinning,Added by,Last updated,Impr.,Clicks,Currency code,Cost,Conversions,Conv. value
Enabled,Non-Toxic Mold Removal.,Campaign,Eligible,Callout, --,Advertiser,"Apr 18, 2026, 1:50 PM",71,2,USD,39.07,0.00,0.00
Enabled,"Specialist Mold Testing
Understand If, Why You Have Mold
Analysis of Your Indoor Air Quality
https://moldcure.com/service/mold-testing-and-inspections",Campaign,Eligible,Sitelink, --,Advertiser,"Apr 18, 2026, 1:49 PM",2,0,USD,0.00,0.00,0.00
Enabled,"Bathroom Mold Removal
Fix humidity-caused mold safely
Restore your bathroom surface
https://moldcure.com/service/mold-remediation",Campaign,Eligible,Sitelink, --,Advertiser,"Apr 18, 2026, 1:49 PM",33,2,USD,18.24,0.00,0.00
Enabled,"Black Mold Specialists
Toxic Mold Experts On Call
Safe, Effective, Guaranteed
https://moldcure.com/service/mold-remediation",Campaign,Eligible,Sitelink, --,Advertiser,"Apr 18, 2026, 1:49 PM",17,2,USD,21.43,0.00,0.00
Enabled,Mold Removal in 1 Day,Ad,Eligible,Headline, --,Google AI, --,0,0,USD,0.00,0.00,0.00
Enabled,Mold Testing & Inspections,Ad,Eligible,Headline, --,Advertiser, --,743,32,USD,604.44,8.01,1.00
Enabled,https://tpc.googlesyndication.com/simgad/17617998633312305240,Campaign,Eligible,Image, --,Advertiser,"Apr 18, 2026, 1:46 PM",34,0,USD,0.00,0.00,0.00
Enabled,https://tpc.googlesyndication.com/simgad/13244535853036148970,Campaign,Eligible,Image, --,Advertiser,"Apr 18, 2026, 1:46 PM",150,6,USD,75.63,2.00,0.00
Enabled,No Demolition Needed,Ad,Eligible,Headline, --,Google AI, --,0,0,USD,0.00,0.00,0.00
Enabled,Locally Owned & Operated,Campaign,Eligible,Callout, --,Advertiser,"Apr 18, 2026, 1:50 PM",80,4,USD,91.29,0.00,0.00
Enabled,Ongoing Protection,Campaign,Eligible,Callout, --,Advertiser,"Apr 18, 2026, 1:50 PM",18,2,USD,44.73,2.00,0.00
Enabled,https://tpc.googlesyndication.com/simgad/3283590736195741160,Campaign,Eligible,Image, --,Advertiser,"Apr 18, 2026, 1:46 PM",0,0,USD,0.00,0.00,0.00
Enabled,5-Star Customer Reviews,Ad,Eligible,Headline, --,Advertiser, --,160,1,USD,6.61,0.00,0.00
Enabled,HomeAdvisor Approved,Campaign,Eligible,Callout, --,Advertiser,"Apr 18, 2026, 1:50 PM",19,0,USD,0.00,0.00,0.00
Enabled,100% Non-Toxic Fog,Campaign,Eligible,Callout, --,Advertiser,"Apr 18, 2026, 1:50 PM",63,1,USD,5.30,0.00,0.00
Enabled,"Same-Day Mold Removal
Fast Emergency Cleanup
Certified Techs 24/7 Service
https://moldcure.com/service/mold-remediation",Campaign,Eligible,Sitelink, --,Advertiser,"Apr 18, 2026, 1:49 PM",20,1,USD,18.42,0.00,0.00
Enabled,https://tpc.googlesyndication.com/simgad/4937971336255348868,Account,Eligible,Business logo, --,Advertiser,"Nov 12, 2025, 2:55 PM","1,491",68,USD,1064.77,15.01,1.00
Enabled,"Mold Removal Services
Eliminate mold at the source
Restore your home’s air quality
https://moldcure.com/service/mold-remediation",Campaign,Eligible,Sitelink, --,Advertiser,"Apr 18, 2026, 1:49 PM",15,0,USD,0.00,0.00,0.00
Enabled,"Air & Mold Testing
Find Out If You Have Hidden Mold
How Healthy Is Your Home?
https://moldcure.com/service/mold-testing-and-inspections",Campaign,Eligible,Sitelink, --,Advertiser,"Apr 18, 2026, 1:49 PM",364,24,USD,284.02,0.00,0.00
Enabled,MoldCure,Campaign,Eligible,Business name, --,Advertiser,"Jan 19, 2026, 9:14 AM","1,495",68,USD,1064.77,15.01,1.00
Enabled,Professional Testing For Mold,Ad,Eligible,Headline, --,Advertiser, --,107,3,USD,45.76,0.00,0.00
Enabled,"Mold Mitigation Experts
Stop mold from returning
Long-term protection for property
https://moldcure.com/service/mold-remediation",Campaign,Eligible,Sitelink, --,Advertiser,"Apr 18, 2026, 1:49 PM",2,0,USD,0.00,0.00,0.00
Enabled,#1 Rated Mold Specialists in The DC Metro Area | We'll Diagnose & Cure Your Mold Problem,Ad,Eligible,Description, --,Advertiser, --,"1,798",63,USD,995.77,10.99,0.00
Enabled,{KeyWord:Air Quality Testing},Ad,Eligible,Headline, --,Advertiser, --,"1,197",53,USD,881.96,11.99,1.00
Enabled,Washington DC Mold Removal,Ad,Eligible,Headline, --,Google AI, --,0,0,USD,0.00,0.00,0.00
Enabled,2Yr Transferable Warranty,Campaign,Eligible,Callout, --,Advertiser,"Apr 18, 2026, 1:50 PM",34,1,USD,12.26,0.00,0.00
Enabled,"HomeAdvisor Top Rated
Trusted local mold experts
Verified by real customers
https://moldcure.com/service/mold-remediation",Campaign,Eligible,Sitelink, --,Advertiser,"Apr 18, 2026, 1:49 PM",9,0,USD,0.00,0.00,0.00
Enabled,"Expert Mold Inspections
Know the Cause(s) of Mold Growth
Expert Technical Analysis of Home
https://moldcure.com/service/mold-testing-and-inspections",Campaign,Eligible,Sitelink, --,Advertiser,"Apr 18, 2026, 1:49 PM",0,0,USD,0.00,0.00,0.00
Enabled,Mold Inspection {LOCATION(City):DC},Ad,Eligible,Headline, --,Advertiser, --,"1,400",61,USD,1036.37,9.00,0.00
Enabled,2 Year Guarantee,Campaign,Eligible,Callout, --,Advertiser,"Apr 18, 2026, 1:50 PM",29,1,USD,7.25,0.00,0.00
Enabled,Affordable Price,Account,Eligible,Callout, --,Advertiser,"Nov 6, 2025, 5:53 PM",784,25,USD,390.79,2.00,0.00
Enabled,202-933-7902,Campaign,Eligible,Call, --,Advertiser,"Oct 21, 2025, 2:43 PM","1,674",45,USD,800.38,6.01,1.00
Enabled,https://tpc.googlesyndication.com/simgad/11429845045565412061,Campaign,Eligible,Image, --,Advertiser,"Apr 18, 2026, 1:46 PM",232,9,USD,94.61,2.00,0.00
Enabled,Mold Remediation Without Demolition,Ad,Eligible,Headline, --,Google AI, --,0,0,USD,0.00,0.00,0.00
Enabled,Same Day Service,Ad,Eligible,Headline, --,Google AI, --,0,0,USD,0.00,0.00,0.00
Enabled,https://tpc.googlesyndication.com/simgad/4101489495611295819,Campaign,Eligible,Image, --,Advertiser,"Apr 18, 2026, 1:46 PM",1,0,USD,0.00,0.00,0.00
Enabled,"Basement Mold Removal
Treat walls & foundation
No mess, no demolition
https://moldcure.com/service/mold-remediation",Campaign,Eligible,Sitelink, --,Advertiser,"Apr 18, 2026, 1:49 PM",9,0,USD,0.00,0.00,0.00
Enabled,No Demolition or Tear Out,Campaign,Eligible,Callout, --,Advertiser,"Apr 18, 2026, 1:50 PM",34,2,USD,39.07,0.00,0.00
Enabled,Know The Health of Your Home,Ad,Eligible,Headline, --,Advertiser, --,376,10,USD,67.49,0.00,0.00
Enabled,Tests Will Be Run Through a Verified Independent Lab & You'll Receive a Report.,Ad,Eligible,Description, --,Advertiser, --,"1,386",62,USD,842.01,9.00,0.00
Enabled,Guaranteed Mold Removal,Ad,Eligible,Headline, --,Google AI, --,0,0,USD,0.00,0.00,0.00
Enabled,Removes Airborne Mold.,Campaign,Eligible,Callout, --,Advertiser,"Apr 18, 2026, 1:50 PM",74,3,USD,62.62,0.00,0.00
Enabled,Dry Fog Mold Removal,Campaign,Eligible,Callout, --,Advertiser,"Apr 18, 2026, 1:50 PM",26,0,USD,0.00,0.00,0.00
Enabled,1 Day Mold Removal,Ad,Eligible,Headline, --,Google AI, --,0,0,USD,0.00,0.00,0.00
Enabled,No Toxic Chemicals,Ad,Eligible,Headline, --,Google AI, --,0,0,USD,0.00,0.00,0.00
Enabled,"Eliminate Mold In Just 1 Day, Without Demolition Or Toxic Chemicals",Ad,Eligible,Description, --,Google AI, --,0,0,USD,0.00,0.00,0.00
Enabled,https://tpc.googlesyndication.com/simgad/14443455575494628993,Campaign,Eligible,Image, --,Advertiser,"Apr 18, 2026, 1:46 PM",0,0,USD,0.00,0.00,0.00
Enabled,1 Day Mold Remediation,Campaign,Eligible,Callout, --,Advertiser,"Apr 18, 2026, 1:50 PM",237,11,USD,175.64,1.00,0.00
Enabled,"Book A Mold Inspection
Certified Mold Inspector.
Understand Your Options.
https://moldcure.com/service/mold-testing-and-inspections",Campaign,Eligible,Sitelink, --,Advertiser,"Apr 18, 2026, 1:49 PM",54,4,USD,57.62,0.00,0.00
Enabled,DC's #1 Mold Specialists,Ad,Eligible,Headline, --,Advertiser, --,671,18,USD,379.57,5.00,0.00
Enabled,https://tpc.googlesyndication.com/simgad/15146638396827493917,Campaign,Eligible,Image, --,Advertiser,"Apr 18, 2026, 1:46 PM",1,0,USD,0.00,0.00,0.00
Enabled,"99.9% Mold Elimination
Proven Dry-Fog Technology
Safe for Kids & Pets
https://moldcure.com/service/mold-remediation",Campaign,Eligible,Sitelink, --,Advertiser,"Apr 18, 2026, 1:49 PM",79,2,USD,32.23,1.00,0.00
Enabled,Mold Cure - DC,Ad,Eligible,Headline, --,Google AI, --,0,0,USD,0.00,0.00,0.00
Enabled,Cost effective,Campaign,Eligible,Callout, --,Advertiser,"Apr 18, 2026, 1:50 PM",225,13,USD,178.11,0.00,0.00
Enabled,Full Home Decontamination,Campaign,Eligible,Callout, --,Advertiser,"Apr 18, 2026, 1:50 PM",24,3,USD,52.45,2.00,0.00
Enabled,Mold Remediation in 1 day,Ad,Eligible,Headline, --,Google AI, --,0,0,USD,0.00,0.00,0.00
